,day,predicted cases
0,0.0,-250.666666666656
1,0.25,-119.73623511903932
2,0.5,-11.84920634920013
3,0.75,75.579489087306
4,1.0,145.1349206349235
5,1.25,199.40215773809683
6,1.5,240.96626984127033
7,1.75,272.4123263888885
8,2.0,296.3253968253958
9,2.25,315.29055059523654
10,2.5,331.89285714285535
11,2.75,348.71738591269633
12,3.0,368.3492063492043
13,3.25,393.37338789682343
14,3.5,426.374999999998
15,3.75,469.9391121031728
16,4.0,526.6507936507921
17,4.25,599.0951140873005
18,4.5,689.8571428571422
19,4.75,801.5219494047612
20,5.0,936.6746031746029
21,5.25,1097.900173611111
22,5.5,1287.7837301587306
23,5.75,1508.9103422619055
24,6.0,1763.8650793650804
25,6.25,2055.2330109126997
26,6.5,2385.5992063492076
27,6.75,2757.5487351190473
28,7.0,3173.666666666666
29,7.25,3636.5380704365066
30,7.5,4148.748015873014
31,7.75,4712.881572420632
32,8.0,5331.523809523806
33,8.25,6007.2597966269805
34,8.5,6742.674603174598
35,8.75,7540.353298611104
36,9.0,8402.880952380945
37,9.25,9332.842633928562
38,9.5,10332.823412698397
39,9.75,11405.408358134902
40,10.0,12553.182539682517
